STNAME,CTYNAME,POPESTIMATE2023
Iowa,Mahaska County,21874
Iowa,Marion County,33770
Iowa,Marshall County,40014
Iowa,Mills County,14633
Iowa,Mitchell County,10518
Iowa,Monona County,8493
Iowa,Monroe County,7504
Iowa,Montgomery County,10139
Iowa,Muscatine County,42218
Iowa,O'Brien County,14012
Iowa,Osceola County,5978
Iowa,Page County,15014
Iowa,Palo Alto County,8810
Iowa,Plymouth County,25722
Iowa,Pocahontas County,6976
Iowa,Polk County,505255
Iowa,Pottawattamie County,93179
Iowa,Poweshiek County,18453
Iowa,Ringgold County,4642
Iowa,Sac County,9686
Iowa,Scott County,174270
Iowa,Shelby County,11806
Iowa,Sioux County,36246
Iowa,Story County,98566
Iowa,Tama County,16833
Iowa,Taylor County,5924
Iowa,Union County,11906
Iowa,Van Buren County,7266
Iowa,Wapello County,35166
Iowa,Warren County,55205
Iowa,Washington County,22560
Iowa,Wayne County,6557
Iowa,Webster County,36485
Iowa,Winnebago County,10571
Iowa,Winneshiek County,19815
Iowa,Woodbury County,105951
Iowa,Worth County,7297
Iowa,Wright County,12656
Kansas,Allen County,12412
Kansas,Anderson County,7838
Kansas,Atchison County,16016
Kansas,Barber County,4071
Kansas,Barton County,24899
Kansas,Bourbon County,14408
Kansas,Brown County,9250
Kansas,Butler County,68632
Kansas,Chase County,2579
Kansas,Chautauqua County,3347
Kansas,Cherokee County,19054
Kansas,Cheyenne County,2636
Kansas,Clark County,1847
Kansas,Clay County,8007
Kansas,Cloud County,8854
Kansas,Coffey County,8251
Kansas,Comanche County,1655
Kansas,Cowley County,34157
Kansas,Crawford County,38764
Kansas,Decatur County,2712
Kansas,Dickinson County,18445
Kansas,Doniphan County,7493
Kansas,Douglas County,120553
Kansas,Edwards County,2733
Kansas,Elk County,2467
Kansas,Ellis County,28810
Kansas,Ellsworth County,6357
Kansas,Finney County,37466
Kansas,Ford County,33980
Kansas,Franklin County,26125
Kansas,Geary County,35047
Kansas,Gove County,2735
