Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2021.0,Anderson County,South Carolina,87980.0,206885.0,62.0,72.6,51.4,4577.2400458052525
2022.0,Anderson County,South Carolina,95778.0,209652.0,61.9,73.0,50.8,4577.2400458052525
2023.0,Anderson County,South Carolina,96154.0,213076.0,62.4,73.6,51.3,4577.2400458052525
2021.0,Anderson County,Tennessee,46039.0,77615.0,57.9,68.5,47.4,5566.218809980806
2022.0,Anderson County,Tennessee,49453.0,78929.0,57.5,68.5,46.4,5566.218809980806
2023.0,Anderson County,Tennessee,49649.0,80234.0,58.6,69.5,47.8,5566.218809980806
2021.0,Anderson County,Texas,24667.0,58302.0,66.0,76.9,55.2,3756.754884300956
2022.0,Anderson County,Texas,26410.0,57227.0,66.6,78.2,54.9,3756.754884300956
2023.0,Anderson County,Texas,26562.0,57736.0,68.1,79.4,56.7,3756.754884300956
2021.0,Andrew County,Missouri,7041.0,18015.0,54.5,65.0,43.9,2476.968058696972
2022.0,Andrew County,Missouri,8003.0,18016.0,51.9,63.7,40.2,2476.968058696972
2023.0,Andrew County,Missouri,8033.0,18127.0,54.8,66.3,43.4,2476.968058696972
2021.0,Andrews County,Texas,8950.0,18411.0,63.4,77.2,49.5,2116.373767681097
2022.0,Andrews County,Texas,9536.0,18324.0,63.7,77.9,49.5,2116.373767681097
2023.0,Andrews County,Texas,9573.0,18664.0,65.4,79.6,51.1,2116.373767681097
2021.0,Androscoggin County,Maine,80283.0,112732.0,47.2,56.7,37.6,5089.438755328968
2022.0,Androscoggin County,Maine,90355.0,113225.0,46.8,57.4,36.1,5089.438755328968
2023.0,Androscoggin County,Maine,91196.0,113765.0,47.7,56.9,38.5,5089.438755328968
2021.0,Angelina County,Texas,43979.0,86730.0,67.8,78.7,57.0,4963.4100253094975
2022.0,Angelina County,Texas,46822.0,87124.0,67.8,79.8,55.8,4963.4100253094975
2023.0,Angelina County,Texas,46693.0,87319.0,69.6,81.0,58.2,4963.4100253094975
2021.0,Anne Arundel County,Maryland,476166.0,592085.0,58.7,68.2,49.3,2865.374330201721
2022.0,Anne Arundel County,Maryland,525776.0,593347.0,57.5,67.4,47.7,2865.374330201721
2023.0,Anne Arundel County,Maryland,528981.0,594582.0,59.1,69.0,49.2,2865.374330201721
2021.0,Anoka County,Minnesota,212152.0,367802.0,46.8,56.9,36.7,2334.0609653609563
2022.0,Anoka County,Minnesota,234511.0,369108.0,43.2,53.2,33.2,2334.0609653609563
2023.0,Anoka County,Minnesota,236471.0,372441.0,47.1,57.0,37.2,2334.0609653609563
2021.0,Anson County,North Carolina,12998.0,21905.0,62.6,73.5,51.6,3306.38900305978
2022.0,Anson County,North Carolina,14828.0,21958.0,62.4,73.6,51.1,3306.38900305978
2023.0,Anson County,North Carolina,14909.0,21897.0,63.0,74.3,51.6,3306.38900305978
2021.0,Antelope County,Nebraska,1435.0,6295.0,50.2,61.5,38.9,3046.651856553475
2021.0,Antrim County,Michigan,13936.0,23879.0,47.1,56.4,37.8,2753.0828792658444
2022.0,Antrim County,Michigan,14617.0,24265.0,44.8,54.5,35.1,2753.0828792658444
2023.0,Antrim County,Michigan,14652.0,24409.0,47.3,56.4,38.3,2753.0828792658444
2021.0,Apache County,Arizona,78385.0,65389.0,52.0,67.1,36.9,3039.854849621748
2022.0,Apache County,Arizona,95387.0,65533.0,51.2,65.9,36.4,3039.854849621748
2023.0,Apache County,Arizona,96506.0,65036.0,50.8,65.5,36.0,3039.854849621748
2021.0,Appanoose County,Iowa,6145.0,12269.0,52.0,62.5,41.5,4447.561680006601
2022.0,Appanoose County,Iowa,6526.0,12141.0,49.9,61.9,38.0,4447.561680006601
